Code,Inner/ Outer London
E09000001,Inner London
E09000002,Outer London
E09000003,Outer London
E09000004,Outer London
E09000005,Outer London
E09000006,Outer London
E09000007,Inner London
E09000008,Outer London
E09000009,Outer London
E09000010,Outer London
E09000011,Outer London
E09000012,Inner London
E09000013,Inner London
E09000014,Inner London
E09000015,Outer London
E09000016,Outer London
E09000017,Outer London
E09000018,Outer London
E09000019,Inner London
E09000020,Inner London
E09000021,Outer London
E09000022,Inner London
E09000023,Inner London
E09000024,Outer London
E09000025,Inner London
E09000026,Outer London
E09000027,Outer London
E09000028,Inner London
E09000029,Outer London
E09000030,Inner London
E09000031,Outer London
E09000032,Inner London
E09000033,Inner London
