Code,Value
E05000026,165000.00
E05000027,183000.00
E05000028,181995.00
E05000029,210000.00
E05000030,210000.00
E05000031,190000.00
E05000032,170000.00
E05000033,175000.00
E05000034,175000.00
E05000035,276000.00
E05000036,185000.00
E05000037,180000.00
E05000038,177000.00
E05000039,177000.00
E05000040,180000.00
E05000041,187000.00
E05000042,212500.00
E05000043,385000.00
E05000044,248000.00
E05000045,457500.00
E05000046,267000.00
E05000047,337998.00
E05000048,354000.00
E05000049,340000.00
E05000050,430000.00
E05000051,460000.00
E05000052,725000.00
E05000053,510000.00
E05000054,350000.00
E05000055,329950.00
E05000056,375000.00
E05000057,420000.00
E05000058,349000.00
E05000059,559750.00
E05000060,335619.00
E05000061,349950.00
E05000062,271000.00
E05000063,372000.00
E05000064,247000.00
E05000065,152000.00
E05000066,250000.00
E05000067,250000.00
E05000068,270000.00
E05000069,247500.00
E05000070,205000.00
E05000071,188000.00
E05000072,243500.00
E05000073,237000.00
E05000074,248000.00
E05000075,169998.00
E05000076,245000.00
E05000077,240000.00
E05000078,228000.00
E05000079,172995.00
E05000080,245500.00
E05000081,270000.00
E05000082,245000.00
E05000083,241500.00
E05000084,152000.00
E05000085,232500.00
E05000086,397500.00
E05000087,500000.00
E05000088,302500.00
E05000089,430000.00
E05000090,290000.00
E05000091,275000.00
E05000092,455000.00
E05000093,450000.00
E05000094,402500.00
E05000095,392250.00
E05000096,450000.00
E05000097,285000.00
E05000098,590000.00
E05000099,346000.00
E05000100,240000.00
E05000101,245000.00
E05000102,292500.00
E05000103,266250.00
E05000104,250000.00
E05000105,345000.00
E05000106,383250.00
E05000107,250000.00
E05000108,287250.00
E05000109,272500.00
E05000110,320000.00
E05000111,350000.00
E05000112,290000.00
E05000113,272000.00
E05000114,223000.00
E05000115,225000.00
E05000116,235945.00
E05000117,370000.00
E05000118,356000.00
E05000119,375000.00
E05000120,382000.00
E05000121,220000.00
E05000122,323000.00
E05000123,299225.00
E05000124,439975.00
E05000125,272000.00
E05000126,378000.00
E05000127,411000.00
E05000128,825000.00
E05000129,569390.00
E05000130,755500.00
E05000131,445000.00
E05000132,500000.00
E05000133,930000.00
E05000134,600000.00
E05000135,1075000.00
E05000136,470000.00
E05000137,550000.00
E05000138,688888.00
E05000139,570000.00
E05000140,426750.00
E05000141,425000.00
E05000142,535000.00
E05000143,500000.00
E05000144,640000.00
E05000145,535875.00
E05000146,229700.00
E05000147,305000.00
E05000148,230000.00
E05000149,210000.00
E05000150,332500.00
E05000151,336962.00
E05000152,235000.00
E05000153,210000.00
E05000154,199000.00
E05000155,230000.00
E05000156,299975.00
E05000157,207000.00
E05000158,318000.00
E05000159,300000.00
E05000160,370000.00
E05000161,191995.00
E05000162,325000.00
E05000163,302500.00
E05000164,210000.00
E05000165,221000.00
E05000166,285000.00
E05000167,210000.00
E05000168,227000.00
E05000169,222000.00
E05000170,430000.00
E05000171,477000.00
E05000172,249950.00
E05000173,439000.00
E05000174,468750.00
E05000175,340000.00
E05000176,330000.00
E05000177,230000.00
E05000178,290000.00
E05000179,420000.00
E05000180,339950.00
E05000181,270000.00
E05000182,585000.00
E05000183,310000.00
E05000184,249950.00
E05000185,225000.00
E05000186,250000.00
E05000187,310000.00
E05000188,365000.00
E05000189,250000.00
E05000190,212500.00
E05000191,726000.00
E05000192,477500.00
E05000193,299995.00
E05000194,345000.00
E05000195,285000.00
E05000196,365000.00
E05000197,202250.00
E05000198,232000.00
E05000199,189950.00
E05000200,350000.00
E05000201,230000.00
E05000202,295000.00
E05000203,235000.00
E05000204,222000.00
E05000205,310000.00
E05000206,218000.00
E05000207,240000.00
E05000208,310000.00
E05000209,435000.00
E05000210,311000.00
E05000211,237500.00
E05000212,227975.00
E05000213,434000.00
E05000214,200000.00
E05000215,362500.00
E05000216,350000.00
E05000217,275000.00
E05000218,285000.00
E05000219,249995.00
E05000220,279250.00
E05000221,202750.00
E05000222,410000.00
E05000223,245000.00
E05000224,280000.00
E05000225,366200.00
E05000226,207250.00
E05000227,249973.00
E05000228,159750.00
E05000229,245000.00
E05000230,250000.00
E05009367,386250.00
E05009368,301750.00
E05009369,420000.00
E05009370,415000.00
E05009371,425000.00
E05009372,400000.00
E05009373,358750.00
E05009374,317250.00
E05009375,378000.00
E05009376,285000.00
E05009377,445000.00
E05009378,470000.00
E05009379,412059.00
E05009380,322500.00
E05009381,430000.00
E05009382,378000.00
E05009383,250000.00
E05009384,388000.00
E05009385,450000.00
E05009386,387500.00
E05009387,275000.00
E05000250,532500.00
E05000251,420775.00
E05000252,481000.00
E05000253,366000.00
E05000254,600000.00
E05000255,506250.00
E05000256,611000.00
E05000257,697475.00
E05000258,480000.00
E05000259,747500.00
E05000260,1130000.00
E05000261,545000.00
E05000262,750000.00
E05000263,440000.00
E05000264,670000.00
E05000265,417500.00
E05000266,537500.00
E05000267,271500.00
E05000268,266250.00
E05000269,491000.00
E05000270,410500.00
E05000271,373815.00
E05000272,570000.00
E05000273,350000.00
E05000274,725000.00
E05000275,310250.00
E05000276,216250.00
E05000277,325000.00
E05000278,335000.00
E05000279,410000.00
E05000280,250000.00
E05000281,232000.00
E05000282,288000.00
E05000283,240000.00
E05000284,276500.00
E05000285,410000.00
E05000286,370000.00
E05000287,330000.00
E05000288,250000.00
E05000289,320000.00
E05000290,310000.00
E05000291,440000.00
E05000292,409950.00
E05000293,280000.00
E05000294,312500.00
E05000295,382500.00
E05000296,260250.00
E05000297,345000.00
E05000298,488500.00
E05000299,336000.00
E05000300,349950.00
E05000301,248000.00
E05000302,298000.00
E05000303,405000.00
E05000304,249950.00
E05000305,354000.00
E05000306,186000.00
E05000307,280000.00
E05000308,232500.00
E05000309,347498.00
E05000310,188000.00
E05000311,268500.00
E05000312,243098.00
E05000313,227000.00
E05000314,200000.00
E05000315,265000.00
E05000316,225000.00
E05000317,275000.00
E05000318,220000.00
E05000319,216500.00
E05000320,240000.00
E05000321,210000.00
E05000322,250000.00
E05000323,385000.00
E05000324,249950.00
E05000325,248000.00
E05000326,247950.00
E05000327,337000.00
E05000328,256500.00
E05000329,450000.00
E05000330,280000.00
E05000331,215000.00
E05000332,279500.00
E05000333,449950.00
E05000334,320000.00
E05000335,379975.00
E05000336,373000.00
E05000337,248000.00
E05000338,295000.00
E05000339,239500.00
E05000340,290000.00
E05000341,245500.00
E05000342,241000.00
E05000343,317748.00
E05000344,220000.00
E05000345,217500.00
E05000346,226500.00
E05000347,274000.00
E05000348,699950.00
E05000349,660000.00
E05000350,248250.00
E05000351,245000.00
E05000352,213000.00
E05000353,232500.00
E05000354,235000.00
E05000355,280000.00
E05000356,282500.00
E05000357,250000.00
E05000358,241300.00
E05000359,240000.00
E05000360,335000.00
E05000361,257600.00
E05000362,310000.00
E05000363,400000.00
E05000364,335000.00
E05000365,550000.00
E05000366,625000.00
E05000367,630000.00
E05000368,499999.00
E05000369,492475.00
E05000370,647500.00
E05000371,362550.00
E05000372,594500.00
E05000373,472000.00
E05000374,387500.00
E05000375,394950.00
E05000376,407500.00
E05000377,436000.00
E05000378,405000.00
E05000379,650000.00
E05000380,660000.00
E05000381,369350.00
E05009388,1200000.00
E05009389,1800000.00
E05009390,1590000.00
E05009391,775000.00
E05009392,770000.00
E05009393,1275000.00
E05009394,496250.00
E05009395,750000.00
E05009396,510000.00
E05009397,957500.00
E05009398,1750450.00
E05009399,482500.00
E05009400,955000.00
E05009401,1461000.00
E05009402,937500.00
E05009403,1712500.00
E05009404,673313.00
E05009405,902500.00
E05000400,394975.00
E05000401,321500.00
E05000402,350000.00
E05000403,405000.00
E05000404,273500.00
E05000405,274950.00
E05000406,620000.00
E05000407,477500.00
E05000408,355000.00
E05000409,320000.00
E05000410,361800.00
E05000411,401000.00
E05000412,332250.00
E05000413,329950.00
E05000414,310000.00
E05000415,534663.00
E05000416,500000.00
E05000417,385500.00
E05000418,582500.00
E05000419,490999.00
E05000420,340000.00
E05000421,418500.00
E05000422,295000.00
E05000423,410000.00
E05000424,295000.00
E05000425,372000.00
E05000426,655000.00
E05000427,450000.00
E05000428,310000.00
E05000429,322500.00
E05000430,319000.00
E05000431,300000.00
E05000432,285000.00
E05000433,480000.00
E05000434,350000.00
E05000435,341750.00
E05000436,362000.00
E05000437,228000.00
E05000438,330000.00
E05000439,285000.00
E05000440,279000.00
E05000441,368000.00
E05000442,214000.00
E05000443,268000.00
E05000444,299975.00
E05000445,245000.00
E05000446,335625.00
E05000447,345000.00
E05000448,250000.00
E05000449,207500.00
E05000450,296250.00
E05000451,229500.00
E05000452,278000.00
E05000453,310000.00
E05000454,225000.00
E05000455,443000.00
E05000456,395000.00
E05000457,281500.00
E05000458,234500.00
E05000459,490000.00
E05000460,220000.00
E05000461,299000.00
E05000462,498499.00
E05000463,240000.00
E05000464,269950.00
E05000465,284975.00
E05000466,455000.00
E05000467,250000.00
E05000468,248725.00
E05000469,486000.00
E05000470,229750.00
E05000471,475000.00
E05000472,1087500.00
E05000473,425000.00
E05000474,644000.00
E05000475,203000.00
E05000476,236250.00
E05000477,225000.00
E05000478,245000.00
E05000479,225000.00
E05000480,216500.00
E05000481,236000.00
E05000482,220000.00
E05000483,250000.00
E05000484,247000.00
E05000485,239475.00
E05000486,224000.00
E05000487,210000.00
E05000488,220000.00
E05000489,217500.00
E05000490,215000.00
E05000491,252500.00
E05000492,250000.00
E05000493,225000.00
E05000494,245000.00
E05000495,250000.00
E05000496,350000.00
E05000497,305000.00
E05000498,248000.00
E05000499,319995.00
E05000500,360000.00
E05000501,220000.00
E05000502,358000.00
E05000503,270000.00
E05000504,285500.00
E05000505,250000.00
E05000506,230000.00
E05000507,200000.00
E05000508,274000.00
E05000509,475000.00
E05000510,277500.00
E05000511,320000.00
E05000512,267000.00
E05000513,325000.00
E05000514,207500.00
E05000515,470000.00
E05000516,1137500.00
E05000517,850000.00
E05000518,477500.00
E05000519,447000.00
E05000520,469975.00
E05000521,321750.00
E05000522,445000.00
E05000523,330000.00
E05000524,628750.00
E05000525,575000.00
E05000526,560000.00
E05000527,512000.00
E05000528,565000.00
E05000529,468000.00
E05000530,499950.00
E05000531,420000.00
E05000532,420500.00
E05000533,358000.00
E05000534,335000.00
E05000535,250000.00
E05000536,600000.00
E05000537,375000.00
E05000538,305000.00
E05000539,472500.00
E05000540,290000.00
E05000541,306250.00
E05000542,430000.00
E05000543,285000.00
E05000544,335000.00
E05000545,333000.00
E05000546,240000.00
E05000547,350000.00
E05000548,446250.00
E05000549,400000.00
E05000550,238000.00
E05000551,375500.00
E05000552,390000.00
E05000553,350000.00
E05000554,850000.00
E05000555,273975.00
E05000556,359000.00
E05000557,246500.00
E05000558,290000.00
E05000559,342000.00
E05000560,367500.00
E05000561,360000.00
E05000562,215000.00
E05000563,306250.00
E05000564,217500.00
E05000565,252000.00
E05000566,215000.00
E05000567,247500.00
E05000568,230000.00
E05000569,223500.00
E05000570,235000.00
E05000571,214000.00
E05000572,280000.00
E05009317,295000.00
E05009318,370000.00
E05009319,310000.00
E05009320,415000.00
E05009321,250000.00
E05009322,272000.00
E05009323,400000.00
E05009324,350000.00
E05009325,260000.00
E05009326,435000.00
E05009327,265000.00
E05009328,250000.00
E05009329,300000.00
E05009330,425000.00
E05009331,335000.00
E05009332,425000.00
E05009333,325000.00
E05009334,266750.00
E05009335,430000.00
E05009336,459890.00
E05000590,248750.00
