location,lat,lon,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
"Centenary Works, London",53.3514114,-1.4847841,Other,HIC,75000,22211,26979.75,4768.75,80771,F. J. Church & Sons Limited,Only one waste type managed (90%)
"Cherry Lodge Golf Club, London",51.310031,0.0542413,Other - inert,Inert,356550,0,89087,89087,102721,Woodland Environmental Ltd,Multiple waste types managed
"Day Aggregates Purley Depot, London",51.336891,-0.113596,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,118650,160262.82,41612.82,103455,Day Group Ltd,Only one waste type managed (90%)
"Purley Oaks Depot, London",51.3470601,-0.0990614,"Transfer and treatment (construction, demolition and excavation)",Inert,24700,0,6154.49,6154.49,83306,Kier Highways Limited,Multiple waste types managed
"Able Waste Services Ltd, London",51.3554689,-0.1192452,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,32688.78,12562.99,-20125.79,104808,Able Waste Services Limited,Only one waste type managed (90%)
"Sam Smith, Peartree Fm, Addington, Cr0, London",51.358673,-0.0312539,Waste transfer (household and commercial),HIC,37500,59282.3,45121.72,-14160.58,83171,Mr Samuel Smith,Multiple waste types managed
"H C L House, London",51.37285,-0.134468,"Transfer and treatment (construction, demolition and excavation)",HIC,100000,9566,2512.75,-7053.25,402173,Hydro Cleansing Limited,Multiple waste types managed
"Genuine Solutions Group Limited, London",51.372897,-0.290525,Other,HIC,74999,234.69,732.51,497.82,104886,Genuine Solutions Group Limited,Only one waste type managed (90%)
"Chessington Equestrian Centre, London",51.37365,-0.315194,Other - inert,Inert,99999,14450,20060,5610,400892,B L Penwarden Haulage & Demolition Contractors Limited,Only one waste type managed (90%)
"Stubbs Mead Depot, London",51.3762456,-0.1114783,Waste transfer (household and commercial),HIC,75000,0,13849.72,13849.72,100651,Veolia E S Cleanaway ( U K ) Ltd,Multiple waste types managed
"Factory Lane Special Waste Transfer Station, London",51.3774419,-0.1146964,Waste transfer (household and commercial),HIC,200000,19736,16400.96,-3335.04,83163,Veolia E S ( U K) Limited,Multiple waste types managed
"Kimpton Park Way H R R C, London",51.3781054,-0.2073165,Household Reuse and Recycling Centres,HIC,24999,13912.36,12963.74,-948.62,83617,Veolia E S ( U K) Limited,Multiple waste types managed
"56-58 Factory Lane, London",51.3784093,-0.1158733,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,14255.21,5621.29,-8633.92,402297,Blu-3 ( U K) Limited,Only one waste type managed (90%)
"Beddington Farmlands Landfill Site, London",51.3798699,-0.1529652,Disposal,HIC,990000,297674.49,300466.68,2792.19,VP3039SW,Viridor Waste Management Limited,Multiple waste types managed
"Greenham Triangle, London",51.3833525,-1.3157724,Other,Inert,47700,0,12397.5,12397.5,400621,Lyons Francis,Multiple waste types managed
"Waldens Depot, London",51.3837341,0.1295744,"Transfer and treatment (construction, demolition and excavation)",Haz,74999,6.74,1.68,-5.06,19568,Syd Bishop & Sons ( Demolition ) Limited,Only one waste type managed (90%)
"Garth Road Civic Amenity Site, London",51.3850737,-0.2277363,Household Reuse and Recycling Centres,HIC,25000,14593.99,12245.04,-2348.95,100632,Veolia E S ( U K ) Limited,Multiple waste types managed
