Site Name,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
Peter Norris ( Haulage) Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,71000,39962.37,47371.96,7409.59,10014,Peter Norris ( Haulage ) Ltd,Multiple waste types managed
Thames Road Depot,Household Reuse and Recycling Centres,HIC,74999,44466.23,43455.68,-1010.55,19563,Bexley London Borough Council,Only one waste type managed (90%)
Foots Cray Depot Refuse & Recycling Centre,Household Reuse and Recycling Centres,HIC,74999,12513.4,11627.91,-885.49,19564,Bexley London Borough Council,Multiple waste types managed
Waldens Depot,"Transfer and treatment (construction, demolition and excavation)",Haz,74999,6.74,1.68,-5.06,19568,Syd Bishop & Sons ( Demolition ) Limited,Only one waste type managed (90%)
Neasden Goods Yard,Waste transfer (household and commercial),Inert,206225,0,156.25,156.25,80018,Metal & Waste Recycling Ltd,Multiple waste types managed
"Scrubs Lane, Willesden","Transfer and treatment (construction, demolition and excavation)",HIC,244305,27186.2,41871.69,14685.49,80019,J Simpson Waste Management Ltd,Multiple waste types managed
Hayes Transfer Station,Waste transfer (household and commercial),HIC,375950,0,824.33,824.33,80025,Suez Recycling And Recovery Uk Ltd,Multiple waste types managed
Greenford Depot Civic Amenity Site,Household Reuse and Recycling Centres,HIC,37500,14837.77,15251.39,413.62,80031,Ealing London Borough Council,Only one waste type managed (90%)
Greenford Depot,Waste transfer (household and commercial),HIC,75000,20862.4,20598.34,-264.06,80032,London Borough of Ealing Council,Only one waste type managed (90%)
Glynn Skips,"Transfer and treatment (construction, demolition and excavation)",Inert,201500,27103,27354.75,251.75,80035,X- Bert Haulage Ltd,Multiple waste types managed
Waste Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,100000,67135.27,69012,1876.73,80036,Space Rubbish Limited,Only one waste type managed (90%)
"Forward Drive C A Site, Harrow",Household Reuse and Recycling Centres,HIC,74999,40367.87,35330.3,-5037.57,80039,London Borough of Harrow,Multiple waste types managed
"Cranford Lane T S, Heathrow",Waste transfer (household and commercial),HIC,74999,469.2,1036.54,567.34,80042,Heathrow Airport Ltd,Only one waste type managed (90%)
New Years Green Lane Civic Amenity Site,Household Reuse and Recycling Centres,HIC,75000,43255.8,34801.31,-8454.49,80043,London Borough of Hillingdon,Only one waste type managed (90%)
Mardyke Farm,Disposal,Inert,452176,0,2220.94,2220.94,80124,Ebbcliffe Ltd,Multiple waste types managed
Horn Lane Waste Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,17000,0,15472.75,15472.75,80060,Quattro ( U K ) Limited,Multiple waste types managed
St Albans Farm Recycling Facility ( Ron Smith),"Transfer and treatment (construction, demolition and excavation)",Inert,221416,71202.37,92918.25,21715.88,80063,Ron Smith ( Recycling ) Ltd,Multiple waste types managed
G B N Services Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,160000,31079.03,39631.77,8552.74,80072,G B N Services Ltd,Multiple waste types managed
"Victoria Road, South Ruislip",Waste transfer (household and commercial),HIC,50000,0,38990.07,38990.07,80076,Dafcon Haulage Limited,Multiple waste types managed
Transport Avenue Transfer Station,Waste transfer (household and commercial),HIC,270000,246784.51,202873.93,-43910.58,80077,Suez Recycling And Recovery U K Ltd,Only one waste type managed (90%)
Twyford Waste Transfer Station,Waste transfer (household and commercial),HIC,74999,38628.58,38061.68,-566.9,80078,West London Waste Authority,Only one waste type managed (90%)
Gerpins Lane Reuse & Recycling Centre,Household Reuse and Recycling Centres,HIC,115500,16210.81,24912.64,8701.83,80090,E L W A Ltd,Only one waste type managed (90%)
Creek Road Transfer Station,Waste transfer (household and commercial),Inert,106250,0,2137.57,2137.57,80098,Euro Waste Barking Limited,Multiple waste types managed
